the_sea_fairies_01_f000001|THE oceans are big and broad.|THE oceans are big and broad.
the_sea_fairies_12_f000059|These strange guardians of the entrance might be able to tell what their numerous eyes saw, yet they remained silent and watchful.|These strange guardians of the entrance might be able to tell what their numerous eyes saw, yet they remained silent and watchful.
the_sea_fairies_12_f000060|Even Aquareine gazed upon them curiously, and she gave a little shudder as she did so.|Even Aquareine gazed upon them curiously, and she gave a little shudder as she did so.
the_sea_fairies_12_f000061|Inside the entrance was a domed hall with a flight of stairs leading to an upper balcony.|Inside the entrance was a domed hall with a flight of stairs leading to an upper balcony.
the_sea_fairies_12_f000062|Around the hall were several doorways hung with curtains made of woven seaweeds.|Around the hall were several doorways hung with curtains made of woven seaweeds.
the_sea_fairies_12_f000063|Chairs and benches stood against the wall, and these astonished the visitors because neither stairs nor chairs seemed useful in a kingdom where every living thing was supposed to swim and have a fish's tail.|Chairs and benches stood against the wall, and these astonished the visitors because neither stairs nor chairs seemed useful in a kingdom where every living thing was supposed to swim and have a fish's tail.
the_sea_fairies_12_f000064|In Queen Aquareine's palaces benches for reclining were used, and stairs were wholly unnecessary, but in the Palace of Zog the furniture and fittings were much like those of a house upon earth,|In Queen Aquareine's palaces benches for reclining were used, and stairs were wholly unnecessary, but in the Palace of Zog the furniture and fittings were much like those of a house upon earth,
the_sea_fairies_12_f000065|and except that every space here was filled with water instead of air,|and except that every space here was filled with water instead of air,
the_sea_fairies_12_f000066|Trot and Captain Bill might have imagined themselves in a handsome earthly castle.|Trot and Captain Bill might have imagined themselves in a handsome earthly castle.
the_sea_fairies_12_f000067|The little group paused half fearfully in the hall, yet so far there was surely nothing to be afraid of.|The little group paused half fearfully in the hall, yet so far there was surely nothing to be afraid of.
the_sea_fairies_12_f000068|They were wondering what to do next when the curtains of an archway were pushed aside and a boy entered.|They were wondering what to do next when the curtains of an archway were pushed aside and a boy entered.
the_sea_fairies_12_f000069|To Trot's astonishment, he had legs and walked upon them naturally and with perfect ease.|To Trot's astonishment, he had legs and walked upon them naturally and with perfect ease.
the_sea_fairies_12_f000070|He was a delicate, frail-looking little fellow, dressed in a black velvet suit with knee breeches.|He was a delicate, frail-looking little fellow, dressed in a black velvet suit with knee breeches.
the_sea_fairies_12_f000071|The bows at his throat and knees were of colored seaweeds, woven into broad ribbons.|The bows at his throat and knees were of colored seaweeds, woven into broad ribbons.
the_sea_fairies_12_f000072|His hair was yellow and banged across his forehead.|His hair was yellow and banged across his forehead.
the_sea_fairies_12_f000073|His eyes were large and dark, with a pleasant, merry sparkle in them.|His eyes were large and dark, with a pleasant, merry sparkle in them.
the_sea_fairies_12_f000074|Around his neck he wore a high ruff, but in spite of this Trot could see that below his plump cheeks were several scarlet-edged slits that looked like the gills of fishes,|Around his neck he wore a high ruff, but in spite of this Trot could see that below his plump cheeks were several scarlet-edged slits that looked like the gills of fishes,
the_sea_fairies_12_f000075|for they gently opened and closed as the boy breathed in the water by which he was surrounded.|for they gently opened and closed as the boy breathed in the water by which he was surrounded.
the_sea_fairies_12_f000076|These gills did not greatly mar the lad's delicate beauty, and he spread out his arms and bowed low and gracefully in greeting.|These gills did not greatly mar the lad's delicate beauty, and he spread out his arms and bowed low and gracefully in greeting.
the_sea_fairies_12_f000077|Hello, said Trot.|Hello, said Trot.
the_sea_fairies_12_f000078|Why, I'd like to, replied the boy with a laugh, but being a mere slave, it isn't proper for me to hello.|Why, I'd like to, replied the boy with a laugh, but being a mere slave, it isn't proper for me to hello.
the_sea_fairies_12_f000079|But it's good to see earth people again, and I'm glad you're here.|But it's good to see earth people again, and I'm glad you're here.
the_sea_fairies_12_f000080|We're not glad, observed the girl.|We're not glad, observed the girl.
the_sea_fairies_12_f000081|We're afraid.|We're afraid.
the_sea_fairies_12_f000082|You'll get over that, declared the boy smilingly.|You'll get over that, declared the boy smilingly.
the_sea_fairies_12_f000083|People lose a lot of time being afraid.|People lose a lot of time being afraid.
the_sea_fairies_12_f000084|Once I was myself afraid, but I found it was no fun, so I gave it up.|Once I was myself afraid, but I found it was no fun, so I gave it up.
the_sea_fairies_12_f000085|Why were we brought here?|Why were we brought here?
the_sea_fairies_12_f000086|inquired Queen Aquareine gently.|inquired Queen Aquareine gently.
the_sea_fairies_12_f000087|I candt say, madam, being a mere slave, replied the boy.|I candt say, madam, being a mere slave, replied the boy.
the_sea_fairies_12_f000088|But you have reminded me of my errand.|But you have reminded me of my errand.
the_sea_fairies_12_f000089|I am sent to inform you all that Zog the Forsaken, who hates all the world and is hated by all the world, commands your presence in his den.|I am sent to inform you all that Zog the Forsaken, who hates all the world and is hated by all the world, commands your presence in his den.
the_sea_fairies_12_f000090|Do you hate Zog, too? asked Trot.|Do you hate Zog, too? asked Trot.
the_sea_fairies_12_f000091|Oh no, answered the boy.|Oh no, answered the boy.
the_sea_fairies_12_f000092|People lose a lot of time in hating others, and there's no fun in it at all.|People lose a lot of time in hating others, and there's no fun in it at all.
the_sea_fairies_12_f000093|Zog may be hateful, but I'm not going to waste time hating him.|Zog may be hateful, but I'm not going to waste time hating him.
