silent_bullet_01_f000001|CRAIG KENNEDY’S THEORIES.|CRAIG KENNEDYS THEORIES.
silent_bullet_08_f000104|Vanderdyke seems to have dropped all his early associations completely, though at present I find he is back in New York raising capital for a company to exploit a new asphalt concession in the interior of Venezuela.|Vanderdyke seems to have dropped all his early associations completely, though at present I find he is back in New York raising capital for a company to exploit a new asphalt concession in the interior of Venezuela.
silent_bullet_08_f000105|Miss Laporte has also reappeared in New York as misis Ralston, with a mining claim in the mountains of Peru.|Miss Laporte has also reappeared in New York as misis Ralston, with a mining claim in the mountains of Peru.
silent_bullet_08_f000106|And Templeton? asked Craig. Had he had any previous matrimonial ventures?|And Templeton? asked Craig. Had he had any previous matrimonial ventures?
silent_bullet_08_f000107|No, none. Of course he had had love affairs, mostly with the country-club set. He had known Miss Laporte pretty well, too, while he was in law school in New York.|No, none. Of course he had had love affairs, mostly with the country-club set. He had known Miss Laporte pretty well, too, while he was in law school in New York.
silent_bullet_08_f000108|But when he settled down to work he seems to have forgotten all about the girls for a couple of years or so. He was very anxious to get ahead, and let nothing stand in his way.|But when he settled down to work he seems to have forgotten all about the girls for a couple of years or so. He was very anxious to get ahead, and let nothing stand in his way.
silent_bullet_08_f000109|He was admitted to the bar and taken in by his father as junior member of the firm of Templeton, Mills & Templeton. Not long ago he was appointed a special master to take testimony in the get-rich-quick-company prosecutions,|He was admitted to the bar and taken in by his father as junior member of the firm of Templeton, Mills  Templeton. Not long ago he was appointed a special master to take testimony in the get-rich-quick-company prosecutions,
silent_bullet_08_f000110|and I happen to know that he was making good in the investigation.|and I happen to know that he was making good in the investigation.
silent_bullet_08_f000111|Kennedy nodded. What sort of fellow personally was Templeton? he asked.|Kennedy nodded. What sort of fellow personally was Templeton? he asked.
silent_bullet_08_f000112|Very popular, replied the district attorney, both at the country club and in his profession in New York. He was a fellow of naturally pontnding temperament - the Templetons were always that way.|Very popular, replied the district attorney, both at the country club and in his profession in New York. He was a fellow of naturally pontnding temperament - the Templetons were always that way.
silent_bullet_08_f000113|I doubt if many young men even with his chances could have gained such a reputation at thirty-five as his. Socially he was very popular, too,|I doubt if many young men even with his chances could have gained such a reputation at thirty-five as his. Socially he was very popular, too,
silent_bullet_08_f000114|a great catch for all the sly mamas of the country club who had marriageable daughters.|a great catch for all the sly mamas of the country club who had marriageable daughters.
silent_bullet_08_f000115|He liked automobiles and outdoor sports, and he was strong in politics, too. That was how he got ahead so fast.|He liked automobiles and outdoor sports, and he was strong in politics, too. That was how he got ahead so fast.
silent_bullet_08_f000116|Well, to cut the story short, Templeton met the Wainwright girls again last summer at a resort on Long Island. They had just returned from a long trip abroad,|Well, to cut the story short, Templeton met the Wainwright girls again last summer at a resort on Long Island. They had just returned from a long trip abroad,
silent_bullet_08_f000117|spending most of the time in the Far East with their father, whose firm has business interests in China.|spending most of the time in the Far East with their father, whose firm has business interests in China.
silent_bullet_08_f000118|The girls were very attractive. They rode and played tennis and golf better than most of the men, and this fall Templeton became a frequent visitor at the Wainwright home in Williston.|The girls were very attractive. They rode and played tennis and golf better than most of the men, and this fall Templeton became a frequent visitor at the Wainwright home in Williston.
silent_bullet_08_f000119|People who know them best tell me that his first attentions were paid to Marian, a very dashing and ambitious young woman.|People who know them best tell me that his first attentions were paid to Marian, a very dashing and ambitious young woman.
silent_bullet_08_f000120|Nearly every day Templeton’s car stopped at the house and the girls and some friend of Templeton’s in the country club went for a ride.|Nearly every day Templetons car stopped at the house and the girls and some friend of Templetons in the country club went for a ride.
